package,version,license,source
@testing-library/jest-dom,7.0.1,MIT,package-lock.json
@testing-library/svelte,5.4.2,MIT,package-lock.json
@testing-library/svelte-core,1.1.3,MIT,package-lock.json
@tsconfig/svelte,5.0.8,MIT,package-lock.json
@types/aria-query,5.0.4,MIT,package-lock.json
@types/chai,5.2.3,MIT,package-lock.json
@types/deep-eql,4.0.2,MIT,package-lock.json
@types/estree,1.0.9,MIT,package-lock.json
@types/node,12.20.55,MIT,package-lock.json
@types/node,20.19.39,MIT,package-lock.json
@types/trusted-types,2.0.7,MIT,package-lock.json
@vitest/expect,4.1.11,MIT,package-lock.json
@vitest/mocker,4.1.11,MIT,package-lock.json
@vitest/pretty-format,4.1.11,MIT,package-lock.json
@vitest/runner,4.1.11,MIT,package-lock.json
@vitest/snapshot,4.1.11,MIT,package-lock.json
@vitest/spy,4.1.11,MIT,package-lock.json
@vitest/utils,4.1.11,MIT,package-lock.json
acorn,8.18.0,MIT,package-lock.json
agent-base,7.1.4,MIT,package-lock.json
ansi-colors,4.1.3,MIT,package-lock.json
ansi-regex,5.0.1,MIT,package-lock.json
ansi-styles,5.2.0,MIT,package-lock.json
argparse,1.0.10,MIT,package-lock.json
argparse,2.0.1,Python-2.0,package-lock.json
aria-query,5.3.0,Apache-2.0,package-lock.json
aria-query,5.3.1,Apache-2.0,package-lock.json
aria-query,5.3.2,Apache-2.0,package-lock.json
array-union,2.1.0,MIT,package-lock.json
assertion-error,2.0.1,MIT,package-lock.json
axobject-query,4.1.0,Apache-2.0,package-lock.json
better-path-resolve,1.0.0,MIT,package-lock.json
bidi-js,1.0.3,MIT,package-lock.json
braces,3.0.3,MIT,package-lock.json
chai,6.2.2,MIT,package-lock.json
chardet,2.1.1,MIT,package-lock.json
chokidar,4.0.3,MIT,package-lock.json
clsx,2.1.1,MIT,package-lock.json
convert-source-map,2.0.0,MIT,package-lock.json
cross-spawn,7.0.6,MIT,package-lock.json
css-tree,3.2.1,MIT,package-lock.json
css.escape,1.5.1,MIT,package-lock.json
cssstyle,5.3.7,MIT,package-lock.json
data-urls,6.0.1,MIT,package-lock.json
debug,4.4.3,MIT,package-lock.json
decimal.js,10.6.0,MIT,package-lock.json
deepmerge,4.3.1,MIT,package-lock.json
dequal,2.0.3,MIT,package-lock.json
detect-indent,6.1.0,MIT,package-lock.json
devalue,5.9.1,MIT,package-lock.json
dir-glob,3.0.1,MIT,package-lock.json
dom-accessibility-api,0.5.16,MIT,package-lock.json
dom-accessibility-api,0.6.3,MIT,package-lock.json
enquirer,2.4.1,MIT,package-lock.json
entities,8.0.0,BSD-2-Clause,package-lock.json
es-module-lexer,2.3.2,MIT,package-lock.json
esbuild,0.28.2,MIT,package-lock.json
esm-env,1.2.2,MIT,package-lock.json
esprima,4.0.1,BSD-2-Clause,package-lock.json
esrap,2.3.6,MIT,package-lock.json
estree-walker,3.0.3,MIT,package-lock.json
expect-type,1.3.0,Apache-2.0,package-lock.json
extendable-error,0.1.7,MIT,package-lock.json
fast-glob,3.3.3,MIT,package-lock.json
fastq,1.20.1,ISC,package-lock.json
fdir,6.5.0,MIT,package-lock.json
fill-range,7.1.1,MIT,package-lock.json
find-up,4.1.0,MIT,package-lock.json
fs-extra,7.0.1,MIT,package-lock.json
fs-extra,8.1.0,MIT,package-lock.json
fsevents,2.3.2,MIT,package-lock.json
fsevents,2.3.3,MIT,package-lock.json
glob-parent,5.1.2,ISC,package-lock.json
globby,11.1.0,MIT,package-lock.json
graceful-fs,4.2.11,ISC,package-lock.json
html-encoding-sniffer,6.0.0,MIT,package-lock.json
http-proxy-agent,7.0.2,MIT,package-lock.json
https-proxy-agent,7.0.6,MIT,package-lock.json
human-id,4.1.3,MIT,package-lock.json
iconv-lite,0.7.2,MIT,package-lock.json
ignore,5.3.2,MIT,package-lock.json
indent-string,4.0.0,MIT,package-lock.json
is-extglob,2.1.1,MIT,package-lock.json
is-glob,4.0.3,MIT,package-lock.json
is-number,7.0.0,MIT,package-lock.json
is-potential-custom-element-name,1.0.1,MIT,package-lock.json
is-reference,3.0.3,MIT,package-lock.json
is-subdir,1.2.0,MIT,package-lock.json
is-windows,1.0.2,MIT,package-lock.json
isexe,2.0.0,ISC,package-lock.json
js-tokens,4.0.0,MIT,package-lock.json
js-yaml,3.15.2,MIT,package-lock.json
js-yaml,4.3.2,MIT,package-lock.json
jsdom,27.4.0,MIT,package-lock.json
jsonfile,4.0.0,MIT,package-lock.json
locate-character,3.0.0,MIT,package-lock.json
locate-path,5.0.0,MIT,package-lock.json
lodash.startcase,4.4.0,MIT,package-lock.json
lru-cache,11.5.2,BlueOak-1.0.0,package-lock.json
lz-string,1.5.0,MIT,package-lock.json
magic-string,0.30.21,MIT,package-lock.json
mdn-data,2.27.1,CC0-1.0,package-lock.json
merge2,1.4.1,MIT,package-lock.json
micromatch,4.0.8,MIT,package-lock.json
min-indent,1.0.1,MIT,package-lock.json
mri,1.2.0,MIT,package-lock.json
ms,2.1.3,MIT,package-lock.json
nanoid,3.3.18,MIT,package-lock.json
obug,2.1.4,MIT,package-lock.json
outdent,0.5.0,MIT,package-lock.json
p-filter,2.1.0,MIT,package-lock.json
p-limit,2.3.0,MIT,package-lock.json
p-locate,4.1.0,MIT,package-lock.json
p-map,2.1.0,MIT,package-lock.json
p-try,2.2.0,MIT,package-lock.json
package-manager-detector,0.2.11,MIT,package-lock.json
parse5,8.0.1,MIT,package-lock.json
path-exists,4.0.0,MIT,package-lock.json
path-key,3.1.1,MIT,package-lock.json
path-type,4.0.0,MIT,package-lock.json
pathe,2.0.3,MIT,package-lock.json
picocolors,1.1.1,ISC,package-lock.json
picomatch,2.3.2,MIT,package-lock.json
picomatch,4.0.7,MIT,package-lock.json
pify,4.0.1,MIT,package-lock.json
playwright,1.59.1,Apache-2.0,package-lock.json
playwright-core,1.59.1,Apache-2.0,package-lock.json
postcss,8.5.26,MIT,package-lock.json
prettier,2.8.8,MIT,package-lock.json
pretty-format,27.5.1,MIT,package-lock.json
punycode,2.3.1,MIT,package-lock.json
quansync,0.2.11,MIT,package-lock.json
queue-microtask,1.2.3,MIT,package-lock.json
react-is,17.0.2,MIT,package-lock.json
read-yaml-file,1.1.0,MIT,package-lock.json
readdirp,4.1.2,MIT,package-lock.json
redent,3.0.0,MIT,package-lock.json
require-from-string,2.0.2,MIT,package-lock.json
resolve-from,5.0.0,MIT,package-lock.json
reusify,1.1.0,MIT,package-lock.json
rollup,4.63.0,MIT,package-lock.json
run-parallel,1.2.0,MIT,package-lock.json
sade,1.8.1,MIT,package-lock.json
safer-buffer,2.1.2,MIT,package-lock.json
saxes,6.0.0,ISC,package-lock.json
semver,7.7.4,ISC,package-lock.json
shebang-command,2.0.0,MIT,package-lock.json
shebang-regex,3.0.0,MIT,package-lock.json
siginfo,2.0.0,ISC,package-lock.json
signal-exit,4.1.0,ISC,package-lock.json
slash,3.0.0,MIT,package-lock.json
source-map-js,1.2.1,BSD-3-Clause,package-lock.json
spawndamnit,3.0.1,SEE LICENSE IN LICENSE,package-lock.json
sprintf-js,1.0.3,BSD-3-Clause,package-lock.json
stackback,0.0.2,MIT,package-lock.json
std-env,4.2.0,MIT,package-lock.json
strip-ansi,6.0.1,MIT,package-lock.json
strip-bom,3.0.0,MIT,package-lock.json
strip-indent,3.0.0,MIT,package-lock.json
