package,version,license,source
@esbuild/netbsd-x64,0.28.1,MIT,website/package-lock.json
@esbuild/netbsd-x64,0.28.2,MIT,website/package-lock.json
@esbuild/openbsd-arm64,0.28.1,MIT,website/package-lock.json
@esbuild/openbsd-arm64,0.28.2,MIT,website/package-lock.json
@esbuild/openbsd-x64,0.28.1,MIT,website/package-lock.json
@esbuild/openbsd-x64,0.28.2,MIT,website/package-lock.json
@esbuild/openharmony-arm64,0.28.1,MIT,website/package-lock.json
@esbuild/openharmony-arm64,0.28.2,MIT,website/package-lock.json
@esbuild/sunos-x64,0.28.1,MIT,website/package-lock.json
@esbuild/sunos-x64,0.28.2,MIT,website/package-lock.json
@esbuild/win32-arm64,0.28.1,MIT,website/package-lock.json
@esbuild/win32-arm64,0.28.2,MIT,website/package-lock.json
@esbuild/win32-ia32,0.28.1,MIT,website/package-lock.json
@esbuild/win32-ia32,0.28.2,MIT,website/package-lock.json
@esbuild/win32-x64,0.28.1,MIT,website/package-lock.json
@esbuild/win32-x64,0.28.2,MIT,website/package-lock.json
@eslint-community/eslint-utils,4.10.1,MIT,website/package-lock.json
@eslint-community/regexpp,4.12.2,MIT,website/package-lock.json
@eslint/config-array,0.23.5,Apache-2.0,website/package-lock.json
@eslint/config-helpers,0.7.0,Apache-2.0,website/package-lock.json
@eslint/core,1.2.1,Apache-2.0,website/package-lock.json
@eslint/js,10.0.1,MIT,website/package-lock.json
@eslint/object-schema,3.0.5,Apache-2.0,website/package-lock.json
@eslint/plugin-kit,0.7.2,Apache-2.0,website/package-lock.json
@humanfs/core,0.19.2,Apache-2.0,website/package-lock.json
@humanfs/node,0.16.8,Apache-2.0,website/package-lock.json
@humanfs/types,0.15.0,Apache-2.0,website/package-lock.json
@humanwhocodes/module-importer,1.0.1,Apache-2.0,website/package-lock.json
@humanwhocodes/retry,0.4.3,Apache-2.0,website/package-lock.json
@img/colour,1.1.0,MIT,website/package-lock.json
@img/sharp-darwin-arm64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-darwin-arm64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-darwin-x64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-darwin-x64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-freebsd-wasm32,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-freebsd-wasm32,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-libvips-darwin-arm64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-darwin-arm64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-darwin-x64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-darwin-x64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-arm,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-arm,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-arm64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-arm64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-ppc64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-ppc64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-riscv64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-riscv64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-s390x,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-s390x,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-x64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linux-x64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linuxmusl-arm64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linuxmusl-arm64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linuxmusl-x64,1.3.1,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-libvips-linuxmusl-x64,1.3.3,LGPL-3.0-or-later,website/package-lock.json
@img/sharp-linux-arm,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linux-arm,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-linux-arm64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linux-arm64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-linux-ppc64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linux-ppc64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-linux-riscv64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linux-riscv64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-linux-s390x,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linux-s390x,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-linux-x64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linux-x64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-linuxmusl-arm64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linuxmusl-arm64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-linuxmusl-x64,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-linuxmusl-x64,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-wasm32,0.35.2,Apache-2.0 AND LGPL-3.0-or-later AND MIT,website/package-lock.json
@img/sharp-wasm32,0.35.4,Apache-2.0 AND LGPL-3.0-or-later AND MIT,website/package-lock.json
@img/sharp-webcontainers-wasm32,0.35.2,Apache-2.0,website/package-lock.json
@img/sharp-webcontainers-wasm32,0.35.4,Apache-2.0,website/package-lock.json
@img/sharp-win32-arm64,0.35.2,Apache-2.0 AND LGPL-3.0-or-later,website/package-lock.json
@img/sharp-win32-arm64,0.35.4,Apache-2.0 AND LGPL-3.0-or-later,website/package-lock.json
@img/sharp-win32-ia32,0.35.2,Apache-2.0 AND LGPL-3.0-or-later,website/package-lock.json
@img/sharp-win32-ia32,0.35.4,Apache-2.0 AND LGPL-3.0-or-later,website/package-lock.json
@img/sharp-win32-x64,0.35.2,Apache-2.0 AND LGPL-3.0-or-later,website/package-lock.json
@img/sharp-win32-x64,0.35.4,Apache-2.0 AND LGPL-3.0-or-later,website/package-lock.json
@jridgewell/resolve-uri,3.1.2,MIT,website/package-lock.json
@jridgewell/sourcemap-codec,1.5.5,MIT,website/package-lock.json
